"point_id","time","lon","lat","ele","X","Y"
174,"2023/09/26 11:15:18+00",7.27989722974598,51.4376991894096,74.4,810394.45,6699085.92
175,"2023/09/26 11:15:19+00",7.27987141348422,51.4376970939338,74.4,810391.58,6699085.54
176,"2023/09/26 11:15:20+00",7.27984509430826,51.4377010334283,74.4,810388.65,6699086.24
177,"2023/09/26 11:15:25+00",7.27975700050592,51.4377651549876,74.4,810378.84,6699097.7
178,"2023/09/26 11:15:31+00",7.27966169826686,51.4378462079912,74.6,810368.23,6699112.17
179,"2023/09/26 11:15:38+00",7.27955365553498,51.4379198849201,74.4,810356.21,6699125.33
180,"2023/09/26 11:15:43+00",7.27944628335536,51.4379506465048,74.4,810344.25,6699130.82
181,"2023/09/26 11:15:49+00",7.27936900220811,51.4380270894617,74.4,810335.65,6699144.47
182,"2023/09/26 11:15:54+00",7.27934452705085,51.438104622066,74.4,810332.93,6699158.32
183,"2023/09/26 11:16:00+00",7.27929373271763,51.4381681568921,74.6,810327.27,6699169.66
184,"2023/09/26 11:16:05+00",7.27921376936138,51.4381995052099,74.8,810318.37,6699175.26
185,"2023/09/26 11:16:06+00",7.27920413017273,51.4382151793689,74.8,810317.3,6699178.06
186,"2023/09/26 11:16:13+00",7.27920396253467,51.4383040275425,75,810317.28,6699193.93
187,"2023/09/26 11:16:14+00",7.27921695448458,51.4383149240166,75,810318.72,6699195.87
188,"2023/09/26 11:16:19+00",7.27929079905152,51.4383737649769,75,810326.95,6699206.38
189,"2023/09/26 11:16:28+00",7.27938308380544,51.4384960569441,75.4,810337.22,6699228.22
190,"2023/09/26 11:16:29+00",7.27938928641379,51.4385103899986,75.4,810337.91,6699230.78
191,"2023/09/26 11:16:30+00",7.27939523756504,51.4385259803385,75.6,810338.57,6699233.56
192,"2023/09/26 11:16:33+00",7.27941183373332,51.4385777805001,76,810340.42,6699242.81
193,"2023/09/26 11:16:35+00",7.27942591533065,51.4386029262096,76.2,810341.99,6699247.3
194,"2023/09/26 11:16:38+00",7.27947302162647,51.4386447519064,76.8,810347.23,6699254.77
195,"2023/09/26 11:16:40+00",7.27951216511428,51.4386660419405,77.2,810351.59,6699258.58
196,"2023/09/26 11:16:44+00",7.27957804687321,51.4386888407171,77.4,810358.92,6699262.65
197,"2023/09/26 11:16:47+00",7.27964518591762,51.4387027546763,77.4,810366.4,6699265.13
198,"2023/09/26 11:16:48+00",7.2796665597707,51.4387065265328,77.4,810368.77,6699265.81
